gamma,scenario,gcm,slidinglaw,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300
PIG5,ssp534-over,CESM2-WACCM,J300,0.0,0.000191804322862,0.0003852480687421,0.0005749540752844,0.0007639162251438,0.0009493742621479,0.0011192592175623,0.001282673122082,0.001444884897666,0.0016018563837646,0.001750978308072,0.0018952077160399,0.0020375981786518,0.0021691383332881,0.0023024369444207,0.0024334692333743,0.0025668883018231,0.0026940278442135,0.0028207954962929,0.0029436631504633,0.0030595638176585,0.0031703739607682,0.0032849116686868,0.0033992942969204,0.0035168520892987,0.0036294835100688,0.003741073933389,0.0038451713191694,0.0039536971515443,0.0040617960695214,0.0041697781858921,0.0042752588087172,0.0043851516136659,0.004488247369635,0.0045933649062598,0.0047030192823084,0.004808147792793,0.0049075436884893,0.0050063574195793,0.0051089210813183,0.0052143552470029,0.0053153212121762,0.0054106695198944,0.0055104955875066,0.0056089564661571,0.0057146722216434,0.0058214477066917,0.0059257531553339,0.0060335551139666,0.0061339303712596,0.0062347335270206,0.0063334388974194,0.0064367241271883,0.0065457118410128,0.006653789075132,0.0067525692234193,0.0068466635669512,0.0069450156372302,0.0070473730339303,0.0071544088480453,0.007257035546581,0.0073566601960785,0.0074547171398211,0.007557083048288,0.0076556494260214,0.0077521969612407,0.0078528202716723,0.0079473312531876,0.0080435598946231,0.0081384401461759,0.0082374456342793,0.0083344888669618,0.0084269792541454,0.0085250838953555,0.0086253357333062,0.0087275583274229,0.0088198163479209,0.0089105956996151,0.0090078876149843,0.0091105177759997,0.0092237732182959,0.0093261170319191,0.0094211841304873,0.0095176374224208,0.0096127738459981,0.0097096937700519,0.0097979840634946,0.0098929355292383,0.0099860670474108,0.0100847857172367,0.0101820502193755,0.0102827441395945,0.0103933561007558,0.0104842546082951,0.0105834851368963,0.0106775195107684,0.0107703790522511,0.0108719111234979,0.0109720072304292,0.0110671408450838,0.0111618240227153,0.0112560321431629,0.0113601018978891,0.0114654670651411,0.0115619083338734,0.0116650763039342,0.0117586608231934,0.0118460231652074,0.0119317112481395,0.012023825289355,0.0121131273198792,0.0122035889145155,0.0122911666663027,0.0123826821404851,0.0124802270603636,0.0125794059391994,0.0126764206273809,0.0127671671551066,0.0128532346034772,0.0129532454742414,0.0130599167466867,0.0131668551058197,0.013262581285401,0.0133685837526397,0.0134731949788066,0.0135686096614293,0.0136792412370912,0.0137807779184781,0.0138830128356362,0.0139829434462459,0.0140867261912308,0.014186090906103,0.0142774783954425,0.0143793235380355,0.0144762499138742,0.0145759571597841,0.0146766108325787,0.0147790120099182,0.0148788655654535,0.0149827170414582,0.0150897136404019,0.0151963102951486,0.0152900965135149,0.0153959386072151,0.0154939543922569,0.0155932270495862,0.0156894864072517,0.0157829307176456,0.0158753590827785,0.0159713062443232,0.0160700258368659,0.016161802944682,0.0162534337055062,0.0163538181312209,0.0164559246024558,0.0165562452040117,0.0166636609220342,0.0167619220542603,0.0168607880296683,0.0169681684405436,0.017065439366441,0.0171731550827141,0.0172752954569178,0.0173772287931224,0.0174857394796012,0.0175880274510324,0.0176959942952345,0.0177886361952887,0.0178795310588432,0.0179737238194264,0.0180709993735136,0.0181632180002664,0.0182558254219599,0.0183557680595116,0.0184543191606801,0.0185438287266795,0.0186417846755549,0.0187469067890582,0.0188442924618864,0.0189417050945081,0.0190432214392098,0.0191460994382205,0.0192400958483764,0.0193366103294443,0.0194251712647316,0.019514076837703,0.0196027666109772,0.0196953493625868,0.0197786142279574,0.0198614389787397,0.0199424262476646,0.0200252244217605,0.0201130512352299,0.0201996400264784,0.0202873653577882,0.0203752935797405,0.0204617078153274,0.0205431865703905,0.0206258582505377,0.0207091448691443,0.0207992186249017,0.0208802660221945,0.0209683275982607,0.0210535758888736,0.0211362064947356,0.0212200990377039,0.0212992722258816,0.0213832213870815,0.0214650097606903,0.0215435140152562,0.021623041446374,0.0217064590042221,0.0217850376151959,0.0218671385445475,0.0219452520912293,0.0220174763234079,0.0220888931845929,0.0221616757237945,0.0222367744413397,0.0223159981575151,0.0223935239726384,0.0224703340814766,0.0225393889123117,0.0226088844198904,0.0226858249646098,0.022767129136792,0.0228425235169488,0.0229184072119799,0.0229894796090616,0.023062902632228,0.02313634465497,0.0232086450201171,0.0232778992924843,0.0233520181288313,0.0234200035330382,0.0234875635028372,0.0235577374999902,0.0236320665923789,0.0236984777884539,0.0237644405687843,0.0238342738293099,0.0239026229642799,0.0239767538277294,0.0240434964830387,0.024109992676243,0.0241718576002064,0.0242376183006899,0.0243058886730577,0.0243674166129366,0.0244289292194353,0.0244927167553126,0.0245582696573237,0.0246208640485132,0.0246862391347455,0.0247517766619668,0.024816974874409,0.0248825146434685,0.0249456008977571,0.0250125191633044,0.0250799344662815,0.0251464726315087,0.0252144324534066,0.0252813741731567,0.0253477156019017,0.0254192943064211,0.0254883568632656,0.0255574770540472,0.0256299830831651,0.0256985057127538,0.0257614827152856,0.025827036317293,0.0258924162712555,0.0259559002171101,0.0260182639853156,0.0260812087931895,0.026143470105519,0.0262038982505258,0.0262674985554797,0.0263303016383398,0.0263921686170342,0.0264522353304848,0.0265117781611766,0.0265714917440581,0.0266318349356074,0.026691890982678,0.0267511811538772,0.0268080283740196,0.0268646829809417,0.0269214626422143,0.0269772589307552,0.0270385621497543,0.0270988262160882,0.0271551798336941,0.0272106215141109
PIG5,ssp534-over,CESM2-WACCM,J50,0.0,0.0001498213055208,0.0003068463099235,0.0004606626897795,0.0006157347644892,0.0007636851695895,0.0008968869663881,0.0010238815838271,0.0011476699852401,0.0012643717975753,0.0013740443333353,0.0014799791705755,0.0015833439062279,0.0016782823779243,0.0017762934127189,0.001874633261761,0.0019746055557626,0.0020668999652404,0.0021590069750072,0.002248347677963,0.0023313856041272,0.0024105791797495,0.0024916312725827,0.0025722551731577,0.0026551840743887,0.0027306597940708,0.002805619690176,0.0028722378603082,0.0029443950007393,0.003016648336875,0.0030884066547183,0.0031568402176699,0.0032300437603499,0.0032973284748195,0.0033676870233932,0.003443016493544,0.0035149395393934,0.0035812537394686,0.0036469380144443,0.0037167299272011,0.0037893933419784,0.0038574138577598,0.003921112049798,0.0039888827934145,0.0040557484674733,0.0041305828870133,0.0042070295566569,0.0042813465490328,0.0043586569268315,0.0044274972809517,0.0044967360530491,0.0045630501130301,0.0046348161824454,0.0047126399008092,0.0047892469947318,0.0048529337394383,0.0049123658562144,0.0049763870391905,0.0050455012194092,0.0051185033749587,0.0051874665544431,0.0052544503611226,0.0053205773278794,0.0053917250053621,0.0054597624023386,0.0055271283599852,0.0055990274437488,0.0056652969568081,0.0057338300254927,0.0058002903473845,0.0058703552953752,0.0059392785256212,0.0060046905299863,0.0060763886344241,0.0061498413782079,0.0062254347398028,0.0062917068232299,0.0063561632975211,0.0064265803593168,0.0065029589690914,0.0065908581496005,0.0066681311464293,0.0067377115729903,0.0068095048403086,0.006880691753581,0.0069538678271986,0.0070201073779606,0.0070932237577964,0.0071606542944393,0.0072333652589559,0.0073055461597563,0.0073798282898204,0.0074665006742965,0.0075334036741447,0.0076091724673953,0.0076809986740313,0.0077517820756749,0.0078301346919921,0.0079064792696346,0.0079794044798653,0.008052849362722,0.0081262262450492,0.0082066736033483,0.0082908924506456,0.0083704604330312,0.0084563739169298,0.0085330925001312,0.0086071301708746,0.0086756117236579,0.0087528350251326,0.0088263124038732,0.0089046749187545,0.0089780214867467,0.009054322140199,0.0091368880256312,0.0092216006782738,0.0093031452621695,0.0093803673167313,0.0094504464378587,0.0095316450535416,0.0096176392355856,0.0097050618851168,0.0097832775361145,0.0098757582693922,0.009968031095365,0.010049076348767,0.0101455197156523,0.0102352109477774,0.0103262200555295,0.0104166656015533,0.0105115285405905,0.010601824483097,0.0106826273357334,0.010774754016983,0.0108625429834329,0.0109533214594819,0.0110452567491053,0.0111382313808285,0.0112281083326972,0.0113218297339217,0.01141747920981,0.0115130752119593,0.0115984703911683,0.0116948584014004,0.0117856964881675,0.0118777753493676,0.0119650780967362,0.0120486229172072,0.0121299149536852,0.0122143006231072,0.0123020641527015,0.0123821535743558,0.0124610833965412,0.0125495527259798,0.0126422081486205,0.0127316210562227,0.0128276316907489,0.012917693540745,0.0130112969909875,0.0131104787660353,0.0131994372163347,0.0132981924940215,0.0133933199175807,0.013490193576651,0.0135942424029883,0.0136894548128926,0.0137873570452527,0.0138709865310952,0.0139525129998352,0.0140385142025122,0.0141278150371322,0.0142134204990705,0.0142995510065404,0.0143901364656507,0.0144830019784977,0.0145663450618301,0.0146569311650578,0.0147539820361409,0.0148459614115443,0.0149394851465282,0.0150353750977058,0.0151318479409844,0.0152210493192319,0.0153146093185098,0.0154007014603582,0.0154878042621551,0.015575112411395,0.0156684047029257,0.0157515492410496,0.0158318910588076,0.0159099403266348,0.0159896773190693,0.0160748627275563,0.0161576969361152,0.0162400652497526,0.01632283205217,0.0164031024215006,0.016477604285435,0.0165539200735275,0.0166308801760919,0.0167163947841564,0.0167946733202104,0.0168793958168241,0.0169611343626903,0.0170384360876575,0.0171174730550331,0.0171930496811117,0.0172694509428396,0.01734438987131,0.0174163876853833,0.0174887768436608,0.0175660046388633,0.0176385643516786,0.0177148050271531,0.0177869840190862,0.0178529905886675,0.0179179115188735,0.0179840936582368,0.0180540507746186,0.0181270916922081,0.0181980942948787,0.0182667043672756,0.0183279156301284,0.0183905223860845,0.0184608494449157,0.0185344585539423,0.0186023030077225,0.0186697744196695,0.0187334419907881,0.0188001029706584,0.0188670306957756,0.0189355795849725,0.0190012171439108,0.0190697912051104,0.0191322968297989,0.0191935124044386,0.0192577705179263,0.0193252047729672,0.0193853592683385,0.0194445940849186,0.0195066160719421,0.0195680484277505,0.0196344609225919,0.0196930205541584,0.0197523482929355,0.0198088333676794,0.0198684787066604,0.0199320047126568,0.0199894368852526,0.0200462189383451,0.0201058645106788,0.0201663505280339,0.0202228333409802,0.020281465312999,0.0203417000553304,0.0204016862477024,0.0204620916131886,0.0205203985520754,0.0205828791492257,0.0206455163266101,0.0207077960138343,0.0207709428852289,0.0208331263935023,0.0208942648920998,0.0209599248482247,0.0210224692104832,0.0210841503032246,0.0211484779827241,0.0212107217633921,0.0212668995641559,0.0213277632865665,0.0213891921796926,0.0214483048941616,0.0215059566779371,0.0215650442180632,0.0216245633526302,0.0216825851137996,0.0217439794514064,0.0218044326753493,0.021864001846015,0.0219220964902559,0.0219801383186379,0.0220397955118372,0.0221017959851975,0.02216426877203,0.0222247569558265,0.0222815634712044,0.022336854036263,0.0223919986626348,0.0224461847606896,0.0225047974025111,0.0225620453250983,0.0226155351492648,0.0226687273681701
PIG5,ssp534-over,CESM2-WACCM,WT,0.0,0.0002452513787093,0.0004764071815895,0.000699675088777,0.0009198094507738,0.0011321239010774,0.0013337607721228,0.0015281797937504,0.0017188767861504,0.0019030647943048,0.0020793060171225,0.0022483768529878,0.0024180338387452,0.0025792997686086,0.0027397871445649,0.0028950984652005,0.0030527758732503,0.0032057487572558,0.0033573083251618,0.0035041817824593,0.0036442090910983,0.0037811178770149,0.0039224271843691,0.0040624401634719,0.0042053142229428,0.0043401689732055,0.0044761404082259,0.0046006545148676,0.0047310254099262,0.004860077355058,0.0049882690956701,0.0051135474779837,0.0052427457789333,0.0053657059962467,0.0054908411701986,0.0056208782858197,0.005746693026572,0.0058666767793475,0.00598590761473,0.0061089479576396,0.0062333719305942,0.0063531152193592,0.0064684818387641,0.0065873884417379,0.0067043999386508,0.0068286827855809,0.0069541016252349,0.0070768714777694,0.0072028738567775,0.0073206624508229,0.0074355721992483,0.007545841422776,0.0076607841440182,0.0077838992057118,0.0079085989173752,0.0080217686391251,0.0081305273641875,0.008242819924704,0.0083587228165968,0.0084782759857216,0.008592339126753,0.0087038048078162,0.0088141403784551,0.0089292038112805,0.0090398898102257,0.0091493724422934,0.0092641836573499,0.0093725810040247,0.0094821210541651,0.0095893686874826,0.0097011651492031,0.0098113040949632,0.0099177958412035,0.0100306756882552,0.0101457625810466,0.01026162931373,0.0103682238982468,0.0104737248552188,0.010585672419439,0.0107013532094303,0.0108260989411531,0.0109407466055416,0.0110478673449069,0.0111566993767705,0.0112649662245607,0.0113762703045528,0.0114796714853732,0.011589135995433,0.0116948143934768,0.0118050948354843,0.0119123100229015,0.0120232510139735,0.0121461248912239,0.01224867233741,0.0123594206405716,0.0124637685729051,0.0125680339544452,0.0126816018226644,0.0127926710276564,0.0129007195418038,0.0130094362934161,0.0131192092445157,0.0132338239358244,0.013350620523009,0.0134610996638567,0.0135740514764298,0.0136778888094458,0.0137787452997555,0.0138781370972857,0.0139858569119347,0.0140934462197448,0.0141987498863687,0.0142991811752592,0.0144020796176199,0.0145113609334044,0.0146201770907584,0.0147261502650989,0.0148259047188795,0.01492159783764,0.0150312392133417,0.0151478945223046,0.0152677042999951,0.0153756585879874,0.0154945260319205,0.0156111927929591,0.0157183194606842,0.0158396352162133,0.0159539091453548,0.0160705895320224,0.0161855912230046,0.0163039414416053,0.0164193840782143,0.0165288856395163,0.0166471982810675,0.0167576892067976,0.0168702370599367,0.016983960571977,0.0170992036886238,0.0172140043996779,0.0173341279103616,0.0174576587815595,0.0175805738674973,0.0176908943896954,0.0178127538468859,0.0179264022906633,0.0180437267708419,0.0181585875550258,0.0182682406404264,0.0183751215663606,0.0184852657090076,0.0185985831184404,0.0187011118152603,0.0188008333080542,0.0189080946486349,0.0190171881271472,0.0191243018463506,0.0192387731964692,0.0193456372733287,0.0194541995341711,0.0195707032975205,0.0196781466489031,0.019796915526976,0.0199110470539932,0.0200265586353925,0.0201507719660736,0.0202697423089227,0.0203940132518925,0.0205050625168616,0.0206122256151573,0.0207231827916417,0.0208357896848175,0.0209445698797889,0.0210537971258446,0.021166394040541,0.0212816033755582,0.0213869023534383,0.0215007786171571,0.0216202781243365,0.0217302364792283,0.0218398592298199,0.0219524130431678,0.0220659100653244,0.02216975432191,0.0222766170551426,0.0223763579597908,0.0224771324718798,0.022577668320542,0.0226839861358208,0.0227815503195814,0.0228783265085738,0.022973583301763,0.0230704514981611,0.0231719174047033,0.0232709746424755,0.0233694431540588,0.0234685537376269,0.0235655990932825,0.0236590794012536,0.0237546343059388,0.0238495081157407,0.0239522769581253,0.0240457281517532,0.0241469995267067,0.0242447946307787,0.0243367661037202,0.0244311478294559,0.024520036766566,0.0246118395668932,0.0247027562275858,0.0247905333313676,0.0248806492949378,0.0249757702585687,0.0250665642842964,0.0251622623284957,0.0252543577644736,0.0253414002003267,0.0254281218130671,0.025515578873969,0.0256080162957682,0.0257034987400881,0.0257963234372855,0.0258874989125758,0.0259689008723915,0.0260514774910907,0.026140534168317,0.0262335997346141,0.0263207008449353,0.0264072567014719,0.0264885632573692,0.0265722739853099,0.0266560718751413,0.026739542521152,0.0268202662192731,0.0269056964308636,0.0269845961260338,0.0270623505677601,0.0271435561978985,0.0272286203755443,0.0273057948770296,0.0273815666207466,0.0274609031386588,0.0275393266166464,0.0276238402115769,0.027701126803295,0.0277782432963792,0.0278498911330658,0.027925077405206,0.0280041504456934,0.028074545746008,0.0281447405726423,0.0282180274548468,0.0282932405593682,0.0283661454319129,0.0284422978789598,0.0285187283694027,0.0285961471093998,0.0286754797429715,0.0287545118259821,0.0288390888061729,0.0289244991227801,0.0290096694269305,0.0290939997012917,0.0291765675676734,0.0292575321325963,0.0293438431256606,0.0294278941631244,0.0295122348636625,0.029600159759398,0.0296855803431116,0.0297657878758452,0.0298513991774527,0.0299378198883642,0.0300220824173949,0.0301036128256906,0.0301850151973415,0.0302669532229012,0.0303469865764372,0.0304284653277487,0.030508259947362,0.0305870383506559,0.0306630737534872,0.0307396578944209,0.0308156965100886,0.0308912988641183,0.0309665778466319,0.0310415414401319,0.0311118365517033,0.0311811662343968,0.0312511493411573,0.031320188234746,0.0313944450949741,0.0314679034093355,0.0315381146371108,0.0316080590586102
meanAnt,ssp534-over,CESM2-WACCM,J300,0.0,0.000191804322862,0.0003835347140086,0.0005730692819855,0.0007570644412395,0.0009328710910208,0.0011057514715693,0.0012739474690372,0.0014321870935697,0.0015821751782058,0.0017296210927743,0.0018740370362236,0.0020138399509493,0.002149013252684,0.0022807988151762,0.0024130257854965,0.0025430942463023,0.0026691115454366,0.0027933746754868,0.0029149312590973,0.003034832181253,0.0031524340220187,0.0032684220277813,0.0033849240498792,0.0035025445787787,0.0036155738840903,0.0037274021641282,0.0038342650107857,0.0039427763933036,0.0040503605274088,0.004156051397601,0.0042610790797788,0.0043653554576272,0.0044642140625324,0.0045624114464019,0.0046618051716504,0.0047597789264512,0.0048550768262692,0.0049498924992618,0.0050455493185767,0.0051409621737034,0.005234028271029,0.0053238593825211,0.0054141292616932,0.0055020937312159,0.0055909863151885,0.0056808158739139,0.0057699762016589,0.0058578871009807,0.0059426117614958,0.0060274668619557,0.0061115754062671,0.0061974193894131,0.0062837519087206,0.0063689099578854,0.0064500375807945,0.0065301561091953,0.0066090170476402,0.0066875139523657,0.0067701749865824,0.0068514073295275,0.0069299149412152,0.0070075644524375,0.0070879615600904,0.0071690444780632,0.0072483162909452,0.0073283312796575,0.0074048547541638,0.0074809544344228,0.0075575181368349,0.0076338311549884,0.0077098854709817,0.0077842868699682,0.007860109442323,0.0079371127455265,0.008014758703043,0.0080879510369562,0.008160378840179,0.0082342263601851,0.0083088000072325,0.0083868553855303,0.0084626818389867,0.0085370532946241,0.008611534652143,0.0086845919824229,0.0087565595158647,0.0088253886031387,0.0088969364542736,0.0089669136582795,0.0090384663649873,0.0091087222105857,0.0091793592934775,0.0092535940639582,0.0093210757146918,0.0093913846663741,0.0094614415732497,0.009526181927156,0.0095937846852948,0.0096603850166096,0.0097243276845542,0.0097888703466654,0.009855663137482,0.0099248701928026,0.0099937734004758,0.0100598930207488,0.0101265954923081,0.0101932270749375,0.0102566419494944,0.0103179486441632,0.0103810750596864,0.0104428678543659,0.0105043458514594,0.0105660404529892,0.0106286610187584,0.0106929918869914,0.0107580710943215,0.0108221262303861,0.0108834481657015,0.0109455209843882,0.0110116172722754,0.0110779753293992,0.011144373345981,0.0112101161784547,0.0112778841197278,0.0113445763647918,0.0114075541327461,0.011470103410296,0.0115302477263869,0.0115898572400561,0.0116501075114938,0.0117119122862461,0.0117743197963298,0.0118356285470496,0.0118975581188883,0.0119568118309063,0.0120176010468027,0.0120812105467561,0.0121441615349098,0.0122054922024363,0.0122681463648682,0.012329058633947,0.0123909269105664,0.012448330258493,0.0125069295296051,0.0125657866668148,0.0126272857592938,0.0126873865825543,0.0127424037466866,0.0127955712956505,0.0128530430521643,0.0129158938537183,0.0129738536291399,0.0130306937043462,0.0130904020352165,0.0131520903389674,0.013213729624506,0.0132776385174945,0.0133385109364816,0.0133992075517578,0.0134614143453287,0.0135212241100749,0.0135838834627076,0.013645537164976,0.0137070201070441,0.0137711443627629,0.0138356988819855,0.0139038208710894,0.0139668125128701,0.0140274218953173,0.0140905642200306,0.014156788870523,0.0142195496695494,0.0142829873170056,0.0143503766945497,0.0144168612843751,0.0144759764781745,0.0145411403984882,0.0146095670085214,0.0146696531589858,0.0147316087360805,0.014798621942052,0.0148634531579493,0.01492584274789,0.0149888091169933,0.0150502739309709,0.015115725995612,0.0151807364538394,0.0152465141889042,0.0153084225422478,0.0153696167890071,0.0154314948779106,0.0154950296227806,0.015562238363658,0.0156298253123594,0.0156896230212868,0.0157500423682166,0.0158140556124335,0.0158739259739799,0.0159357630059351,0.0159974059158609,0.0160626020619559,0.0161285159737881,0.0161950358095575,0.0162584786500345,0.016321347589135,0.0163857310157143,0.0164450015040221,0.016506470502381,0.0165696182663717,0.0166301731266268,0.0166938944476612,0.0167648015813253,0.0168300354141734,0.0168948537992426,0.0169607090635767,0.0170221419014806,0.017081550126585,0.0171434285457717,0.0172052730660226,0.0172706135658015,0.0173374942773535,0.0174010833831964,0.0174577004770738,0.0175163454993279,0.0175795978069714,0.0176454746566692,0.0177112722460737,0.017770590289691,0.01783095605187,0.0178954788862482,0.0179570937712091,0.0180228916277462,0.0180840467594839,0.0181470668028693,0.0182084117921759,0.0182694518106068,0.0183348000710575,0.0184001150177139,0.0184627781586157,0.0185268420081474,0.0185943751913239,0.0186596318609065,0.0187289485323012,0.0187939810388243,0.0188579128795673,0.0189159840967479,0.0189750046172215,0.0190372191106443,0.0190969145644764,0.019156032262392,0.019218957899307,0.0192794723800476,0.0193388903940222,0.0194021748156395,0.019468439767603,0.0195303485959094,0.0195885385174418,0.0196495298707396,0.0197146920817517,0.0197800420476574,0.0198404346126503,0.019901794861597,0.0199649025275923,0.0200267907708525,0.0200945765464773,0.020156683661338,0.020219993276888,0.0202881362188652,0.0203546270693344,0.0204144131647727,0.0204765795407212,0.0205415575239898,0.020603693271047,0.0206652606113178,0.0207272173423536,0.0207901758561542,0.0208534053634174,0.0209196511103457,0.0209842638250344,0.0210476318121912,0.0211101293520285,0.0211702893389086,0.0212316482846214,0.0212924238812483,0.021351615822807,0.0214110577772523,0.0214678011874443,0.0215240980411434,0.0215811907493238,0.021637952748464,0.0216994257076205,0.0217602118421048,0.0218179012193172,0.0218750062163299
