,expNum,gamma0,UMV,LRP,PDDi,WeertC,model,Pliocene,Control,Plio_minus_ctrl
0,1,9618.882299425968,2.057769240222253e+20,0.0007158110487947,0.0195900589404028,22300.784042568263,cosmos,6.225787044,3.967440010207067,2.2583470337929326
1,2,159188.54144055457,7.970284664832632e+20,0.0005273064933129,0.0168192480003638,13110.001766328724,cosmos,16.31258546,11.81020279668277,4.502382663317231
2,3,159188.54144055457,2.365917738268973e+19,0.000395965085926,0.0119785158757254,16585.219430128134,cosmos,10.73377297,7.002230561175293,3.7315424088247076
3,4,471264.2917076337,6.490640333116151e+20,0.0006618007492427,0.0135503659135099,31568.73903118912,cosmos,6.05810718,-4.300124578134517,10.358231758134519
4,5,159188.54144055457,3.2115773430366464e+20,0.0001022167926655,0.0181489650074367,39836.3912173115,cosmos,-4.943914031,-9.267446692315366,4.323532661315365
5,6,86984.00071113347,1.489391557411472e+20,0.0003444156900015,0.0199294082079501,28201.909512841805,cosmos,2.164277904,-2.8964853528375443,5.060763256837545
6,7,159188.54144055457,8.870961078669965e+20,2.138578692992761e-05,0.0127104799331944,44002.99929729768,cosmos,-2.367530171,-11.525162430959517,9.157632259959517
7,8,86984.00071113347,6.577979939606767e+20,0.000294300907373,0.0172743330261254,50219.64407772541,cosmos,-0.2901293686,-8.945866958935913,8.655737590335912
8,9,86984.00071113347,1.0766874992781304e+20,0.0005212907124242,0.0171828455920859,58869.63885399003,cosmos,-2.833211588,-9.842537801197023,7.009326213197023
9,10,159188.54144055457,7.192167932002438e+19,0.0006474304579959,0.0197402060709176,14564.480064953275,cosmos,14.30788277,9.341178480064793,4.966704289935208
10,11,9618.882299425968,2.5617590532817197e+20,0.0001770793962043,0.0157354407592354,57976.17089985713,cosmos,-9.906379955,-10.658058527751605,0.7516785727516044
11,12,86984.00071113347,9.91974179032071e+20,0.0004776064834442,0.0081969057179969,44984.03261985353,cosmos,0.1491469831,-6.696501336033208,6.845648319133208
12,13,86984.00071113347,6.586535231486616e+20,9.126161493348806e-06,0.0158167336356732,37845.75785242204,cosmos,-5.839872369,-5.2476433843483345,-0.5922289846516655
13,14,21005.34363839212,8.665330363071049e+20,0.0003861732892543,0.0103115698786691,28644.136266830483,cosmos,0.947159788,-0.2022594052398722,1.1494191932398723
14,15,86984.00071113347,3.9724128704479455e+20,0.0006733401169139,0.0136511529602612,11788.668993645908,cosmos,17.6886897,13.50939976658813,4.179289933411871
15,16,21005.34363839212,3.946584956823573e+18,0.0002748625693814,0.0092653804920656,55329.60531851113,cosmos,-9.64376194,-9.683604417781806,0.03984247778180716
16,17,86984.00071113347,3.8588243955739374e+20,0.0004898406252835,0.0082479682982843,46705.013991266904,cosmos,-1.848685589,-7.088601505222768,5.239915916222769
17,18,21005.34363839212,1.1752503493554842e+19,0.0007474532182416,0.0192353262430949,33688.466717897005,cosmos,,-2.580099150991196,
18,19,159188.54144055457,1.1041667268083473e+20,0.0003487416936935,0.0094555412552267,35893.345277778186,cosmos,1.769110568,-7.1080362062989275,8.877146774298927
19,20,9618.882299425968,3.777360286160038e+20,0.0006325173788821,0.0117294051351607,13538.063403618647,cosmos,13.91243619,12.842762212658108,1.0696739773418908
20,21,159188.54144055457,6.005680534588727e+20,0.0005155521822681,0.0114736670195236,40469.0469431485,cosmos,2.617469527,-8.268400183873496,10.885869710873497
21,22,471264.2917076337,5.979739619554065e+20,0.0007067850312007,0.0185678091816157,57726.91524389268,cosmos,,-12.769089094572497,
22,23,14477.336760227674,9.728891353752133e+20,0.0002880637541023,0.0189383015695262,48511.13188270022,cosmos,-3.642449249,-8.306752847196856,4.664303598196856
23,24,9618.882299425968,6.382824597254153e+19,0.0002214795208562,0.0140499265980428,29226.796051085086,cosmos,-0.9656349925,-0.3218228065667401,-0.6438121859332598
24,25,14477.336760227674,7.75942377965927e+19,0.0001319131798028,0.0088774335826295,34257.01651612592,cosmos,-4.780756059,-2.8753734984650268,-1.905382560534973
25,26,471264.2917076337,9.410312441881884e+20,8.699379978811453e-05,0.0099482690851716,17146.583419045033,cosmos,11.11976903,7.039226395914882,4.080542634085118
26,27,471264.2917076337,2.6442462961536352e+20,0.0001648746403377,0.0183253617129239,56722.24987580004,cosmos,-6.369605942,-15.661105784870546,9.291499842870547
27,28,14477.336760227674,1.941206384683977e+20,0.0004451474690028,0.0089740090879928,36284.82477299115,cosmos,,-3.2593748368939166,
28,29,14477.336760227674,7.647718728942066e+20,7.797522018259694e-05,0.00854002965591,41688.20901537531,cosmos,-9.176063136,-6.3567467783757685,-2.8193163576242313
29,30,14477.336760227674,9.841416420423297e+20,0.0007632712295494,0.0166064020243692,61706.95591221472,cosmos,-2.462777142,-9.141129736408388,6.678352594408388
30,31,471264.2917076337,3.06082175885351e+20,0.0004996050504162,0.0116883553046891,30646.73399903553,cesm,1.998668983,-3.973588510353866,5.972257493353866
31,32,471264.2917076337,7.298427007552823e+20,0.0005362013101175,0.0141470665702272,25595.841333578068,cesm,,-1.0302710414543683,
32,33,9618.882299425968,9.661374804102332e+20,0.000401953348356,0.0154060458629307,47173.55577611992,cesm,-5.594895915,-7.460673408401338,1.865777493401338
33,34,14477.336760227674,8.404648590062875e+20,0.0004620619086848,0.0115190892882517,9529.476147023246,cesm,20.584559,20.190912662104303,0.3936463378956958
34,35,9618.882299425968,8.457581441127082e+20,0.0005649674855889,0.0162781144763988,56981.26245685875,cesm,-7.710128508,-9.043216702467184,1.3330881944671837
35,36,159188.54144055457,1.5898188288331294e+20,0.0006057641672866,0.0151353135021619,22085.395791889507,cesm,,1.3784332764192888,
36,37,14477.336760227674,7.518997956227233e+20,0.0005825812034351,0.0144897005166595,58432.173155234916,cesm,-7.217154627,-9.353180219088465,2.1360255920884645
37,38,159188.54144055457,6.105609585147423e+20,0.0002713517601302,0.0152313421325516,26521.90812484093,cesm,6.691220683,-1.837979639457073,8.529200322457074
38,39,159188.54144055457,6.720867808025143e+20,0.0002082017037338,0.0167803040814728,38971.094080022536,cesm,-1.334041073,-8.473067606710865,7.139026533710865
39,40,9618.882299425968,9.4464879823518e+20,4.465677122069489e-05,0.0175283961229934,42362.57609012816,cesm,-11.7266867,-6.7472547532637925,-4.979431946736208
40,41,9618.882299425968,2.6940257623327284e+20,0.0004361876151517,0.0143270916651493,20723.533487669283,cesm,7.314876841,5.435137322177163,1.879739518822837
41,42,21005.34363839212,4.688404205139003e+20,0.000235816071238,0.0170344039030477,29623.22503845331,cesm,2.248850484,-0.7732947568976405,3.0221452408976406
42,43,86984.00071113347,6.339555822556643e+20,5.500082500240127e-06,0.0190451830372446,31898.442135097357,cesm,1.833607328,-2.284776223115646,4.118383551115646
43,44,21005.34363839212,5.1206581449181023e+20,8.177398358143043e-05,0.0196997497553831,33459.665755817885,cesm,-2.601109617,-2.964387340237674,0.3632777232376738
44,45,471264.2917076337,2.3257767374777457e+20,0.0003178364756117,0.0161736366589534,25220.637522283065,cesm,2.463678632,-0.8595122398675836,3.3231908718675838
45,46,14477.336760227674,4.136850899423057e+20,0.0003024305733605,0.012366024405434,40847.70347180284,cesm,-4.128140011,-5.430901799430692,1.3027617884306917
46,47,86984.00071113347,3.4912507799072e+20,0.0001714927036631,0.0149904597476376,26819.334722591273,cesm,5.464865783,-1.8527365230562172,7.317602306056217
47,48,159188.54144055457,8.715097585425408e+20,0.0001802457874337,0.0178681008246282,27430.21652907613,cesm,7.471906328,-2.569998764761796,10.041905092761796
48,49,9618.882299425968,2.9839490380662794e+20,0.0002433696653882,0.0096756384230759,19270.56279589648,cesm,4.533268238,6.892704956239536,-2.359436718239536
49,50,471264.2917076337,1.8554158037103143e+20,0.0002031859461205,0.0100074718516539,18827.0766306119,cesm,6.80337253,4.801807756040811,2.0015647739591893
50,51,159188.54144055457,5.249064645899762e+20,0.0003331290551645,0.0194568031328848,43344.21049665491,cesm,-3.407891018,-9.955805250311464,6.547914232311464
51,52,14477.336760227674,8.829552353141259e+20,0.0003574934220453,0.0101358786062908,10450.993060216322,cesm,17.62028993,18.688637712797323,-1.068347782797325
52,53,86984.00071113347,5.661826085399236e+20,0.0007055607033703,0.0109340152415128,7977.616963850707,cesm,27.42223774,20.936913046751997,6.485324693248003
53,54,471264.2917076337,4.958242324221915e+20,0.0007963010545719,0.012805250225164,45100.53759118201,cesm,-2.673473259,-9.167687248296616,6.494213989296616
54,55,471264.2917076337,7.728356107016988e+20,0.0005446277595027,0.0198354917493738,37050.96959996667,cesm,-0.7233935742,-6.8648494960776425,6.141455921877642
55,56,14477.336760227674,9.961602763780466e+19,0.0007852790489287,0.0084844543214177,21470.84923194197,cesm,5.413060836,4.629843726231115,0.7832171097688843
56,57,21005.34363839212,9.131045339941972e+20,4.971770276786226e-05,0.0108320353150167,26121.433941990268,cesm,-1.938855568,1.3331655667418625,-3.2720211347418626
57,58,471264.2917076337,7.052465036676014e+20,0.0007368989976487,0.0105455613574057,24917.38297064543,cesm,4.962540178,-0.4657370104984916,5.428277188498492
58,59,9618.882299425968,1.7537373111553674e+20,0.0005911196250605,0.0107527158903654,53177.58062606093,cesm,-7.984078509,-8.09660037823412,0.11252186923412033
59,60,86984.00071113347,9.29303474314152e+20,0.000335851270009,0.0155786808491682,60696.91461504889,cesm,-11.97793289,-11.315229331449396,-0.6627035585506036
60,61,14477.336760227674,1.80726143157081e+20,0.0005063958041024,0.0150274419737148,23639.35519649353,ccsm4uoft,2.571225509,3.2206865896628987,-0.6494610806628986
61,62,9618.882299425968,5.885186190155211e+19,0.000548855604842,0.0186114004196292,12674.071453815704,ccsm4uoft,14.07489182,14.623466518112837,-0.5485746981128372
62,63,86984.00071113347,5.831682868607672e+20,0.0001084078483236,0.0118057726978424,61164.28626007641,ccsm4uoft,-13.33872347,-12.794613168549192,-0.5441103014508073
63,64,159188.54144055457,1.2935102471410124e+20,0.0007773927387208,0.0131195617002022,38412.64645089411,ccsm4uoft,-2.63078402,-7.160276514462282,4.529492494462282
64,65,9618.882299425968,1.3502233072493987e+20,0.0003745242312024,0.0174632160473187,52662.08802025677,ccsm4uoft,-9.981404646,-8.700810039536607,-1.2805946064633922
